round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.2428687438964845,0.2636,0.1522,0.2600170683274511,0.0,2.271161098003388,100,100,0,40,23960,0.021643100000801496,118.05432559999826,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.931726531982422,0.5814,0.062,0.5743604209182183,0.010089686098654708,2.1580899074872333,100,100,0,40,23960,0.016018999998777872,108.59931810000126,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
2,0.7871612121582031,0.829,0.0182,0.8244747303187838,0.5698151950718686,1.7732902933160464,100,100,0,40,23960,0.016729899998608744,103.14156109999749,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
3,0.5185057235717774,0.8763,0.0116,0.8735421254381237,0.7217659137577002,1.6095161305864654,100,100,0,40,23960,0.014943899997888366,106.20982679999724,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
4,0.39749220352172854,0.9008,0.0076,0.8988770001841377,0.7998017839444995,1.4974666150112947,100,100,0,40,23960,0.020860299999185372,105.35166390000086,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
5,0.3203362358093262,0.9188,0.0068,0.9173945004111171,0.851129363449692,1.4526198868056142,100,100,0,40,23960,0.017464699998527067,105.30345850000231,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.2778074043273926,0.9278,0.0063,0.9268025424297017,0.8562628336755647,1.4177439599931239,100,100,0,40,23960,0.019001100001332816,103.92418700000053,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
7,0.23782915420532227,0.9355,0.0061,0.9348492908308241,0.8747433264887063,1.4063170099804796,100,73,27,40,23960,0.01434510000035516,104.15364539999791,0.0136986301369863,27,0,13,60,1.0,0.675,0.8059701492537313,0.0,7.0
8,0.2128591911315918,0.9411,0.0051,0.9405965840161912,0.8809034907597536,0.9107537626811902,73,60,40,13,7787,0.011245000001508743,78.8648097999976,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
9,0.19052182235717774,0.9455,0.0053,0.9450469536656175,0.893223819301848,0.47719721227884293,60,60,40,0,0,0.01114660000166623,64.08475969999927,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
